# Movsim.org example data for fuel consumption modeling
# Source: Ostfalia Hochschule - Institute of Traffic Management http://www.ostfalia.de/cms/en/ifvm
# Wednesday,22,April,2009,12:32:39
# 03G 906 021 KH ,,"R4 1,9L EDC G000SG  8984",,
#,Group A:,'015,,,,Group B:,'006,,,,Group C:, Not Running,,,,,,,Gemessener,,,
#,,UPM,Drehmoment,Kraftstoffverbr,Drehmoment,,Drehzahl,Bin/Bits,Last,Bin/Bits,,,Zeitschritte,Zeit,Zeit,Weg,Geschwindigkeit,Beschleunigung,Verbrauch VAGCOM,,,
#,,UPM,Torque,Fuel Consumption,Torque,,number of rotations,Bin/Bits,Load,Bin/Bits,,,Timestep,Time,Time,Position,Speed,Acceleration,Consumption VAGCOM,,,,,,,,,,,,,,,,,,,,
#,TIME,,,,,TIME,,,,,TIME,,dt,t,t,s,v,a,bs,,v,v
#MARKER, STAMP, /min, Nm, l/h, Nm,STAMP, km/h,,%,,STAMP,,s,h,min,km,km/h,m/s2,l,,km/h,m/s
,37.37,1470,65.9,2.2,68.3,37.6,53,1000,21.2,0,,,0.45,0.01,0.41,0.25,52,0.00,0.02,,51.94,14.43
,37.82,1470,65.9,2.2,65.9,38.04,53,1000,20.4,0,,,0.45,0.01,0.42,0.26,52,0.00,0.02,,51.94,14.43
,38.27,1470,63.4,2,63.4,38.49,53,1000,20.4,0,,,0.45,0.01,0.43,0.27,52,0.00,0.02,,51.94,14.43
,38.72,1491,61,2,61,38.94,53,1000,20,0,,,0.45,0.01,0.43,0.27,52,0.00,0.02,,51.94,14.43
,39.16,1491,61,2,61,39.39,53,1000,0,0,,,0.44,0.01,0.44,0.28,52,0.00,0.02,,51.94,14.43
,39.61,1386,7.3,0.2,0,39.84,53,1100,0,0,,,0.45,0.01,0.45,0.29,52,0.00,0.02,,51.94,14.43
,40.06,945,22,0.2,0,40.28,53,1100,0,0,,,0.45,0.01,0.46,0.29,52,-0.30,0.02,,51.94,14.43
,40.51,1155,58.6,1.2,31.7,40.73,53,1100,9.4,0,,,0.45,0.01,0.46,0.30,52,-0.31,0.02,,51.94,14.43
,40.96,1113,46.4,1,46.4,41.18,52,1000,9.4,0,,,0.45,0.01,0.47,0.31,51,0.00,0.02,,50.96,14.16
,41.4,1113,46.4,1,46.4,41.63,52,1000,9.4,0,,,0.44,0.01,0.48,0.31,51,0.00,0.02,,50.96,14.16
,41.85,1113,46.4,1,46.4,42.08,52,1000,9.8,0,,,0.45,0.01,0.49,0.32,51,0.00,0.02,,50.96,14.16
,42.3,1113,48.8,1,51.2,42.52,52,1000,13.7,0,,,0.45,0.01,0.49,0.32,51,-0.30,0.02,,50.96,14.16
,42.75,1113,63.4,1.4,65.9,42.97,52,1000,14.1,0,,,0.45,0.01,0.50,0.33,51,-0.31,0.02,,50.96,14.16
,43.2,1092,65.9,1.6,65.9,43.42,51,1000,12.5,0,,,0.45,0.01,0.51,0.34,50,0.00,0.02,,49.98,13.88
,43.64,1092,58.6,1.4,56.1,43.87,51,1000,11.4,0,,,0.44,0.01,0.52,0.34,50,0.00,0.02,,49.98,13.88
,44.09,1092,56.1,1.2,56.1,44.31,51,1000,10.6,0,,,0.45,0.01,0.52,0.35,50,0.00,0.02,,49.98,13.88
,44.54,1092,51.2,1.2,48.8,44.76,51,1000,9.8,0,,,0.45,0.01,0.53,0.36,50,0.00,0.02,,49.98,13.88
,44.99,1092,48.8,1,48.8,45.21,51,1000,10.2,0,,,0.45,0.01,0.54,0.36,50,0.00,0.02,,49.98,13.88
,45.43,1092,56.1,1.2,58.6,45.66,51,1000,12.5,0,,,0.44,0.01,0.55,0.37,50,0.00,0.02,,49.98,13.88
,45.88,1092,61,1.4,61,46.12,51,1000,13.3,0,,,0.45,0.01,0.55,0.37,50,0.00,0.02,,49.98,13.88
,46.35,1092,63.4,1.4,63.4,46.57,51,1000,13.3,0,,,0.47,0.01,0.56,0.38,50,0.00,0.02,,49.98,13.88
,46.79,1092,63.4,1.4,63.4,47.02,51,1000,13.3,0,,,0.44,0.01,0.57,0.39,50,0.00,0.02,,49.98,13.88
,47.24,1092,63.4,1.4,63.4,47.47,51,1000,13.3,0,,,0.45,0.01,0.58,0.39,50,0.00,0.02,,49.98,13.88
,47.69,1092,63.4,1.4,63.4,47.92,51,1000,13.3,0,,,0.45,0.01,0.58,0.40,50,0.00,0.02,,49.98,13.88
,48.14,1092,63.4,1.4,63.4,48.36,51,1000,12.9,0,,,0.45,0.01,0.59,0.41,50,0.00,0.03,,49.98,13.88
,48.59,1092,61,1.4,61,48.81,51,1000,11.4,0,,,0.45,0.01,0.60,0.41,50,0.00,0.03,,49.98,13.88
,49.03,1092,56.1,1.2,56.1,49.26,51,1000,9,0,,,0.44,0.01,0.61,0.42,50,0.00,0.03,,49.98,13.88
,49.48,1092,39,0.8,0,49.71,51,1000,0,0,,,0.45,0.01,0.61,0.42,50,-0.30,0.03,,49.98,13.88
,49.93,1071,0,0,0,50.15,51,1000,0,0,,,0.45,0.01,0.62,0.43,50,-0.30,0.03,,49.98,13.88
,50.38,1071,0,0,0,50.6,50,1000,0,0,,,0.45,0.01,0.63,0.44,49,-0.31,0.03,,49,13.61
,50.83,1050,0,0,0,51.05,50,1000,0,0,,,0.45,0.01,0.64,0.44,49,-0.31,0.03,,49,13.61
,51.27,1050,0,0,0,51.5,49,1000,0,0,,,0.44,0.01,0.64,0.45,48,-0.30,0.03,,48.02,13.34
